site_code,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
FC,2021-06-26,2.9,3,3,3,3,2.9,2.6,2.1,1.4,0.8,0.2,-0.1,-0.1,0.2,0.5,1,1.5,2,2.4,2.6,2.8,2.9,2.8,2.7
FC,2021-06-27,2.7,2.8,2.8,2.9,2.9,2.9,2.7,2.4,1.9,1.3,0.7,0.3,0.1,0.1,0.4,0.8,1.2,1.7,2.1,2.4,2.7,2.9,2.9,2.7
FC,2021-06-28,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.5,2.2,1.7,1.3,0.8,0.4,0.3,0.4,0.7,1,1.4,1.9,2.3,2.6,2.8,2.9,2.8
FC,2021-06-29,2.6,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.2,2,1.6,1.3,0.9,0.7,0.6,0.7,1,1.3,1.7,2.1,2.4,2.6,2.8,2.8
RP,2021-06-25,3,3.1,3.2,3.3,3.4,3.3,3,2.5,1.8,1,0.3,-0.1,-0.2,0,0.5,1.1,1.8,2.4,3,3.4,3.6,3.5,3.4,3.2
RP,2021-06-26,3,3,3,3.2,3.3,3.3,3.1,2.8,2.3,1.6,0.8,0.3,0,-0.1,0.2,0.7,1.3,1.9,2.5,3.1,3.4,3.6,3.5,3.3
RP,2021-06-27,3.1,2.9,2.9,2.9,3,3.1,3.1,3,2.6,2.1,1.5,0.8,0.3,0.1,0.1,0.4,0.9,1.5,2.1,2.7,3.2,3.4,3.5,3.4
RP,2021-06-28,3.1,2.9,2.8,2.7,2.8,2.8,2.9,2.9,2.7,2.4,2,1.4,0.9,0.5,0.3,0.4,0.7,1.2,1.8,2.3,2.8,3.2,3.4,3.4
RP,2021-06-29,3.2,3,2.8,2.6,2.5,2.5,2.6,2.6,2.6,2.5,2.2,1.8,1.4,1,0.7,0.7,0.8,1.1,1.6,2.1,2.6,3,3.3,3.4
EP,2021-06-25,3.1,3.1,3.2,3.3,3.4,3.4,3.2,2.7,2,1.2,0.4,-0.1,-0.3,-0.1,0.3,0.9,1.7,2.4,3.1,3.6,3.8,3.8,3.6,3.3
EP,2021-06-26,3.1,3,3,3.1,3.3,3.3,3.3,3,2.5,1.8,1.1,0.4,0,-0.2,0.1,0.5,1.2,1.9,2.6,3.2,3.6,3.8,3.7,3.5
EP,2021-06-27,3.2,3,2.9,2.9,3,3.1,3.2,3.1,2.8,2.3,1.7,1,0.5,0.1,0.1,0.3,0.8,1.4,2.1,2.8,3.3,3.7,3.8,3.6
EP,2021-06-28,3.4,3.1,2.9,2.8,2.8,2.8,2.9,3,2.9,2.6,2.2,1.6,1,0.6,0.3,0.4,0.7,1.2,1.7,2.4,3,3.4,3.7,3.7
EP,2021-06-29,3.5,3.2,2.9,2.7,2.6,2.6,2.6,2.7,2.7,2.6,2.4,2,1.6,1.1,0.8,0.7,0.8,1.1,1.5,2.1,2.7,3.2,3.5,3.6
WB,2021-06-25,4.4,4.7,4.6,4,3.1,2.1,1,0.3,-0.1,0,0.6,1.4,2.4,3.2,3.6,3.7,3.4,2.9,2.3,1.8,1.6,1.8,2.4,3.1
WB,2021-06-26,3.9,4.5,4.7,4.5,3.8,2.9,1.8,0.9,0.2,-0.1,0.1,0.8,1.7,2.6,3.3,3.7,3.7,3.4,2.8,2.2,1.7,1.6,1.9,2.4
