"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-125.77","49.08","TOFINO A","1038210","2021-01-01","2021","01","01","","9.7","","7.2","","8.5","","9.5","","0.0","","","","","","","M","","","13","","67",""
"-125.77","49.08","TOFINO A","1038210","2021-01-02","2021","01","02","","10.1","","3.1","","6.6","","11.4","","0.0","","","","","","","M","","","15","","55",""
"-125.77","49.08","TOFINO A","1038210","2021-01-03","2021","01","03","","10.0","","2.9","","6.5","","11.5","","0.0","","","","","","","M","","","27","","41",""
"-125.77","49.08","TOFINO A","1038210","2021-01-04","2021","01","04","","8.6","","3.0","","5.8","","12.2","","0.0","","","","","","","M","","","10","","55",""
"-125.77","49.08","TOFINO A","1038210","2021-01-05","2021","01","05","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-125.77","49.08","TOFINO A","1038210","2021-01-06","2021","01","06","","","M","","M","","M","","M","","M","","","","","","M","","","25","","37",""
"-125.77","49.08","TOFINO A","1038210","2021-01-07","2021","01","07","","11.0","","3.3","","7.2","","10.8","","0.0","","","","","","","M","","","8","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-01-08","2021","01","08","","11.5","","2.8","","7.2","","10.8","","0.0","","","","","","","M","","","16","","93",""
"-125.77","49.08","TOFINO A","1038210","2021-01-09","2021","01","09","","8.3","","2.0","","5.2","","12.8","","0.0","","","","","","","M","","","10","","59",""
"-125.77","49.08","TOFINO A","1038210","2021-01-10","2021","01","10","","9.5","","5.6","","7.6","","10.4","","0.0","","","","","","","M","","","11","","57",""
"-125.77","49.08","TOFINO A","1038210","2021-01-11","2021","01","11","","10.1","","7.8","","9.0","","9.0","","0.0","","","","","","","M","","","15","","80",""
"-125.77","49.08","TOFINO A","1038210","2021-01-12","2021","01","12","","10.1","","5.1","","7.6","","10.4","","0.0","","","","","","","M","","","13","","63",""
"-125.77","49.08","TOFINO A","1038210","2021-01-13","2021","01","13","","8.9","","4.3","","6.6","","11.4","","0.0","","","","","","","M","","","30","","94",""
"-125.77","49.08","TOFINO A","1038210","2021-01-14","2021","01","14","","12.9","","4.8","","8.9","","9.1","","0.0","","","","","","","M","","","11","","63",""
"-125.77","49.08","TOFINO A","1038210","2021-01-15","2021","01","15","","9.5","","3.6","","6.6","","11.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-16","2021","01","16","","8.7","","4.9","","6.8","","11.2","","0.0","","","","","","","M","","","10","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-01-17","2021","01","17","","10.4","","2.8","","6.6","","11.4","","0.0","","","","","","","M","","","29","","41",""
"-125.77","49.08","TOFINO A","1038210","2021-01-18","2021","01","18","","8.7","","0.3","","4.5","","13.5","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-19","2021","01","19","","7.5","","1.1","","4.3","","13.7","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-20","2021","01","20","","7.6","","3.5","","5.6","","12.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-21","2021","01","21","","9.9","","-0.1","","4.9","","13.1","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-22","2021","01","22","","8.2","","-0.8","","3.7","","14.3","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-23","2021","01","23","","6.7","","-1.2","","2.8","","15.2","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-24","2021","01","24","","6.2","","2.4","","4.3","","13.7","","0.0","","","","","","","M","","","12","","52",""
"-125.77","49.08","TOFINO A","1038210","2021-01-25","2021","01","25","","6.4","","0.0","","3.2","","14.8","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-26","2021","01","26","","5.4","","0.3","","2.9","","15.1","","0.0","","","","","","","M","","","10","","46",""
"-125.77","49.08","TOFINO A","1038210","2021-01-27","2021","01","27","","5.7","","2.2","","4.0","","14.0","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-28","2021","01","28","","7.5","","1.7","","4.6","","13.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-01-29","2021","01","29","","5.8","","2.9","","4.4","","13.6","","0.0","","","","","","","M","","","9","","54",""
"-125.77","49.08","TOFINO A","1038210","2021-01-30","2021","01","30","","8.2","","3.3","","5.8","","12.2","","0.0","","","","","","","M","","","11","","61",""
"-125.77","49.08","TOFINO A","1038210","2021-01-31","2021","01","31","","8.7","","4.6","","6.7","","11.3","","0.0","","","","","","","M","","","13","","70",""
"-125.77","49.08","TOFINO A","1038210","2021-02-01","2021","02","01","","8.2","","5.0","","6.6","","11.4","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-02-02","2021","02","02","","8.0","","1.2","","4.6","","13.4","","0.0","","","","","","","M","","","15","","41",""
"-125.77","49.08","TOFINO A","1038210","2021-02-03","2021","02","03","","7.3","","-0.3","","3.5","","14.5","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-02-04","2021","02","04","","8.0","","3.8","","5.9","","12.1","","0.0","","","","","","","M","","","28","","44",""
"-125.77","49.08","TOFINO A","1038210","2021-02-05","2021","02","05","","10.1","","3.3","","6.7","","11.3","","0.0","","","","","","","M","","","29","","72",""
"-125.77","49.08","TOFINO A","1038210","2021-02-06","2021","02","06","","9.7","","4.7","","7.2","","10.8","","0.0","","","","","","","M","","","29","","63",""
"-125.77","49.08","TOFINO A","1038210","2021-02-07","2021","02","07","","7.5","","-1.3","","3.1","","14.9","","0.0","","","","","","","M","","","29","","41",""
"-125.77","49.08","TOFINO A","1038210","2021-02-08","2021","02","08","","5.8","","-3.7","","1.1","","16.9","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-02-09","2021","02","09","","5.6","","-2.6","","1.5","","16.5","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-02-10","2021","02","10","","4.1","","-2.8","","0.7","","17.3","","0.0","","","","","","","M","","","","","",""
"-125.77","49.08","TOFINO A","1038210","2021-02-11","2021","02","11","","4.7","","0.6","","2.7","","15.3","","0.0","","","","","","","M","","","6","","33",""
"-125.77","49.08","TOFINO A","1038210","2021-02-12","2021","02","12","","2.0","","-1.9","","0.1","","17.9","","0.0","","","","","","","M","","","8","","39",""
"-125.77","49.08","TOFINO A","1038210","2021-02-13","2021","02","13","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-125.77","49.08","TOFINO A","1038210","2021-02-14","2021","02","14","","2.9","","0.1","","1.5","","16.5","","0.0","","","","","","","M","","","","","",""
