1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: EB00000051023021
Is Mission Active?  true
Mission Start:  Fri Apr 16 13:01:00 PDT 2021
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  1969
Total Samples:  16435
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2021-04-21, 4:01:00 p.m.,C,21
2021-04-21, 5:01:00 p.m.,C,19
2021-04-21, 6:01:00 p.m.,C,16.5
2021-04-21, 7:01:00 p.m.,C,16.5
2021-04-21, 8:01:00 p.m.,C,14.5
2021-04-21, 9:01:00 p.m.,C,11.5
2021-04-21, 10:01:00 p.m.,C,9.5
2021-04-21, 11:01:00 p.m.,C,9.5
2021-04-22, 12:01:00 a.m.,C,9.5
2021-04-22, 1:01:00 a.m.,C,9.5
2021-04-22, 2:01:00 a.m.,C,9.5
2021-04-22, 3:01:00 a.m.,C,9.5
2021-04-22, 4:01:00 a.m.,C,9.5
2021-04-22, 5:01:00 a.m.,C,9.5
2021-04-22, 6:01:00 a.m.,C,9.5
2021-04-22, 7:01:00 a.m.,C,9.5
2021-04-22, 8:01:00 a.m.,C,9.5
2021-04-22, 9:01:00 a.m.,C,9.5
2021-04-22, 10:01:00 a.m.,C,9.5
2021-04-22, 11:01:00 a.m.,C,9.5
2021-04-22, 12:01:00 p.m.,C,10
2021-04-22, 1:01:00 p.m.,C,10
2021-04-22, 2:01:00 p.m.,C,14.5
2021-04-22, 3:01:00 p.m.,C,20
2021-04-22, 4:01:00 p.m.,C,21.5
2021-04-22, 5:01:00 p.m.,C,22
2021-04-22, 6:01:00 p.m.,C,21
2021-04-22, 7:01:00 p.m.,C,19.5
2021-04-22, 8:01:00 p.m.,C,16.5
2021-04-22, 9:01:00 p.m.,C,12.5
2021-04-22, 10:01:00 p.m.,C,10.5
2021-04-22, 11:01:00 p.m.,C,10
2021-04-23, 12:01:00 a.m.,C,9.5
2021-04-23, 1:01:00 a.m.,C,9.5
2021-04-23, 2:01:00 a.m.,C,9.5
2021-04-23, 3:01:00 a.m.,C,9.5
