date,tide_height_m,hour,site_code
2021-06-27,2.153148,18,TP
2021-06-27,2.382222,19,TP
2021-06-27,2.544214,20,TP
2021-06-27,2.637531,21,TP
2021-06-27,2.637545,22,TP
2021-06-27,2.571636,23,TP
2021-06-28,2.525624,0,TP
2021-06-28,2.547602,1,TP
2021-06-28,2.597132,2,TP
2021-06-28,2.613188,3,TP
2021-06-28,2.577209,4,TP
2021-06-28,2.480293,5,TP
2021-06-28,2.287899,6,TP
2021-06-28,1.984697,7,TP
2021-06-28,1.613355,8,TP
2021-06-28,1.228005,9,TP
2021-06-28,0.851162,10,TP
2021-06-28,0.519569,11,TP
2021-06-28,0.325158,12,TP
2021-06-28,0.34649,13,TP
2021-06-28,0.562079,14,TP
2021-06-28,0.882801,15,TP
2021-06-28,1.245546,16,TP
2021-06-28,1.623377,17,TP
2021-06-28,1.973315,18,TP
2021-06-28,2.244579,19,TP
2021-06-28,2.431132,20,TP
2021-06-28,2.556096,21,TP
2021-06-28,2.611028,22,TP
2021-06-28,2.572365,23,TP
2021-06-29,2.475004,0,TP
2021-06-29,2.401774,1,TP
2021-06-29,2.387525,2,TP
2021-06-29,2.390119,3,TP
2021-06-29,2.365658,4,TP
2021-06-29,2.311269,5,TP
2021-06-29,2.217938,6,TP
2021-06-29,2.047211,7,TP
2021-06-29,1.7881880000000001,8,TP
2021-06-29,1.487015,9,TP
2021-06-29,1.190254,10,TP
2021-06-29,0.910193,11,TP
2021-06-29,0.678127,12,TP
2021-06-29,0.574569,13,TP
2021-06-29,0.654587,14,TP
2021-06-29,0.880306,15,TP
2021-06-29,1.172051,16,TP
2021-06-29,1.48953,17,TP
2021-06-29,1.817422,18,TP
2021-06-29,2.112622,19,TP
2021-06-29,2.328051,20,TP
2021-06-29,2.465059,21,TP
2021-06-29,2.545713,22,TP
2021-06-29,2.555217,23,TP
2021-06-25,3.4,0,BO
2021-06-25,3.5,1,BO
2021-06-25,3.3,2,BO
2021-06-25,2.8,3,BO
2021-06-25,2.2,4,BO
2021-06-25,1.4,5,BO
2021-06-25,0.7,6,BO
2021-06-25,0.2,7,BO
2021-06-25,0,8,BO
2021-06-25,0,9,BO
2021-06-25,0.4,10,BO
2021-06-25,0.9,11,BO
2021-06-25,1.5,12,BO
2021-06-25,2,13,BO
2021-06-25,2.3,14,BO
2021-06-25,2.4,15,BO
2021-06-25,2.3,16,BO
2021-06-25,2,17,BO
2021-06-25,1.8,18,BO
2021-06-25,1.6,19,BO
2021-06-25,1.6,20,BO
2021-06-25,1.8,21,BO
2021-06-25,2.2,22,BO
2021-06-25,2.6,23,BO
2021-06-26,3.1,0,BO
2021-06-26,3.4,1,BO
2021-06-26,3.4,2,BO
2021-06-26,3.2,3,BO
2021-06-26,2.7,4,BO
2021-06-26,2,5,BO
2021-06-26,1.3,6,BO
2021-06-26,0.6,7,BO
2021-06-26,0.2,8,BO
2021-06-26,0,9,BO
2021-06-26,0.1,10,BO
2021-06-26,0.5,11,BO
2021-06-26,1.1,12,BO
2021-06-26,1.7,13,BO
2021-06-26,2.1,14,BO
2021-06-26,2.4,15,BO
2021-06-26,2.4,16,BO
2021-06-26,2.3,17,BO
2021-06-26,2,18,BO
2021-06-26,1.7,19,BO
2021-06-26,1.6,20,BO
2021-06-26,1.7,21,BO
2021-06-26,1.9,22,BO
2021-06-26,2.2,23,BO
2021-06-27,2.6,0,BO
2021-06-27,3,1,BO
2021-06-27,3.3,2,BO
2021-06-27,3.3,3,BO
2021-06-27,3,4,BO
2021-06-27,2.5,5,BO
2021-06-27,1.8,6,BO
2021-06-27,1.1,7,BO
2021-06-27,0.6,8,BO
2021-06-27,0.2,9,BO
2021-06-27,0.1,10,BO
2021-06-27,0.3,11,BO
2021-06-27,0.7,12,BO
2021-06-27,1.3,13,BO
2021-06-27,1.8,14,BO
2021-06-27,2.2,15,BO
2021-06-27,2.4,16,BO
2021-06-27,2.4,17,BO
2021-06-27,2.2,18,BO
2021-06-27,2,19,BO
2021-06-27,1.7,20,BO
2021-06-27,1.6,21,BO
2021-06-27,1.7,22,BO
2021-06-27,1.9,23,BO
2021-06-28,2.2,0,BO
2021-06-28,2.6,1,BO
2021-06-28,2.9,2,BO
2021-06-28,3.1,3,BO
2021-06-28,3,4,BO
2021-06-28,2.8,5,BO
2021-06-28,2.3,6,BO
2021-06-28,1.7,7,BO
2021-06-28,1.1,8,BO
2021-06-28,0.6,9,BO
2021-06-28,0.3,10,BO
2021-06-28,0.3,11,BO
2021-06-28,0.5,12,BO
2021-06-28,1,13,BO
2021-06-28,1.5,14,BO
2021-06-28,1.9,15,BO
2021-06-28,2.3,16,BO
2021-06-28,2.4,17,BO
2021-06-28,2.4,18,BO
2021-06-28,2.2,19,BO
2021-06-28,1.9,20,BO
2021-06-28,1.7,21,BO
2021-06-28,1.6,22,BO
2021-06-28,1.7,23,BO
2021-06-29,1.9,0,BO
2021-06-29,2.1,1,BO
2021-06-29,2.5,2,BO
2021-06-29,2.7,3,BO
2021-06-29,2.9,4,BO
2021-06-29,2.8,5,BO
2021-06-29,2.5,6,BO
2021-06-29,2.1,7,BO
2021-06-29,1.5,8,BO
2021-06-29,1,9,BO
2021-06-29,0.7,10,BO
2021-06-29,0.5,11,BO
2021-06-29,0.5,12,BO
2021-06-29,0.8,13,BO
2021-06-29,1.2,14,BO
2021-06-29,1.7,15,BO
2021-06-29,2.1,16,BO
2021-06-29,2.4,17,BO
2021-06-29,2.5,18,BO
2021-06-29,2.4,19,BO
2021-06-29,2.2,20,BO
2021-06-29,1.9,21,BO
2021-06-29,1.7,22,BO
2021-06-29,1.6,23,BO
2021-06-25,3.6,0,PP
2021-06-25,3.7,1,PP
2021-06-25,3.4,2,PP
2021-06-25,2.9,3,PP
2021-06-25,2.1,4,PP
2021-06-25,1.2,5,PP
2021-06-25,0.5,6,PP
2021-06-25,0,7,PP
2021-06-25,-0.2,8,PP
2021-06-25,0.1,9,PP
2021-06-25,0.6,10,PP
2021-06-25,1.3,11,PP
2021-06-25,2,12,PP
2021-06-25,2.6,13,PP
2021-06-25,2.8,14,PP
2021-06-25,2.8,15,PP
2021-06-25,2.5,16,PP
2021-06-25,2.1,17,PP
2021-06-25,1.6,18,PP
2021-06-25,1.4,19,PP
2021-06-25,1.4,20,PP
2021-06-25,1.6,21,PP
2021-06-25,2.1,22,PP
2021-06-25,2.7,23,PP
2021-06-26,3.3,0,PP
2021-06-26,3.6,1,PP
2021-06-26,3.6,2,PP
2021-06-26,3.3,3,PP
2021-06-26,2.7,4,PP
2021-06-26,1.9,5,PP
2021-06-26,1.1,6,PP
2021-06-26,0.4,7,PP
2021-06-26,0,8,PP
2021-06-26,-0.1,9,PP
2021-06-26,0.2,10,PP
2021-06-26,0.8,11,PP
2021-06-26,1.5,12,PP
2021-06-26,2.2,13,PP
2021-06-26,2.7,14,PP
2021-06-26,2.9,15,PP
2021-06-26,2.8,16,PP
2021-06-26,2.4,17,PP
2021-06-26,2,18,PP
2021-06-26,1.6,19,PP
2021-06-26,1.4,20,PP
2021-06-26,1.4,21,PP
2021-06-26,1.7,22,PP
2021-06-26,2.2,23,PP
2021-06-27,2.7,0,PP
2021-06-27,3.2,1,PP
2021-06-27,3.5,2,PP
2021-06-27,3.5,3,PP
2021-06-27,3.1,4,PP
2021-06-27,2.5,5,PP
2021-06-27,1.7,6,PP
2021-06-27,1,7,PP
2021-06-27,0.3,8,PP
2021-06-27,0,9,PP
2021-06-27,0.1,10,PP
2021-06-27,0.4,11,PP
