date_time,temperature_C,block,treatment
2021-07-08T07:01:00Z,14,11,SI
2021-07-08T08:01:00Z,14,11,SI
2021-07-08T09:01:00Z,18.5,11,SI
2021-07-08T10:01:00Z,21.5,11,SI
2021-07-08T11:01:00Z,25.5,11,SI
2021-07-08T12:01:00Z,24.5,11,SI
2021-07-08T13:01:00Z,25.5,11,SI
2021-07-08T14:01:00Z,15.5,11,SI
2021-07-08T15:01:00Z,13,11,SI
2021-07-08T16:01:00Z,12.5,11,SI
2021-07-08T17:01:00Z,12.5,11,SI
2021-07-08T18:01:00Z,12,11,SI
2021-07-08T19:01:00Z,13,11,SI
2021-07-08T20:01:00Z,12.5,11,SI
2021-07-08T21:01:00Z,12.5,11,SI
2021-07-08T22:01:00Z,12.5,11,SI
2021-07-08T23:01:00Z,12.5,11,SI
2021-07-09T00:01:00Z,12.5,11,SI
2021-07-09T01:01:00Z,12.5,11,SI
2021-07-09T02:01:00Z,12.5,11,SI
2021-07-09T03:01:00Z,12.5,11,SI
2021-07-09T04:01:00Z,12.5,11,SI
2021-07-09T05:01:00Z,12.5,11,SI
2021-07-09T06:01:00Z,12,11,SI
2021-07-09T07:01:00Z,12.5,11,SI
2021-07-09T08:01:00Z,14,11,SI
2021-07-09T09:01:00Z,18,11,SI
2021-07-09T10:01:00Z,22,11,SI
2021-07-09T11:01:00Z,24,11,SI
2021-07-09T12:01:00Z,23,11,SI
2021-07-09T13:01:00Z,22.5,11,SI
2021-07-09T14:01:00Z,24,11,SI
2021-07-09T15:01:00Z,12.5,11,SI
2021-07-09T16:01:00Z,12.5,11,SI
2021-07-09T17:01:00Z,12.5,11,SI
2021-07-09T18:01:00Z,12,11,SI
2021-07-09T19:01:00Z,12,11,SI
2021-07-09T20:01:00Z,12,11,SI
2021-07-09T21:01:00Z,12,11,SI
2021-07-09T22:01:00Z,12.5,11,SI
2021-07-09T23:01:00Z,12,11,SI
2021-07-10T00:01:00Z,12,11,SI
2021-07-10T01:01:00Z,12,11,SI
2021-07-10T02:01:00Z,12,11,SI
2021-07-10T03:01:00Z,12,11,SI
2021-07-10T04:01:00Z,12,11,SI
2021-07-10T05:01:00Z,12,11,SI
2021-07-10T06:01:00Z,12,11,SI
2021-07-10T07:01:00Z,12,11,SI
2021-07-10T08:01:00Z,14,11,SI
2021-07-10T09:01:00Z,17,11,SI
2021-07-10T10:01:00Z,19.5,11,SI
2021-07-10T11:01:00Z,22,11,SI
2021-07-10T12:01:00Z,20,11,SI
2021-07-10T13:01:00Z,20.5,11,SI
2021-07-10T14:01:00Z,21.5,11,SI
2021-07-10T15:01:00Z,13,11,SI
2021-07-10T16:01:00Z,12,11,SI
2021-07-10T17:01:00Z,12.5,11,SI
2021-07-10T18:01:00Z,12.5,11,SI
2021-07-10T19:01:00Z,11.5,11,SI
2021-07-10T20:01:00Z,12,11,SI
2021-07-10T21:01:00Z,12,11,SI
2021-07-10T22:01:00Z,12,11,SI
2021-07-10T23:01:00Z,12,11,SI
2021-07-11T00:01:00Z,11.5,11,SI
2021-07-11T01:01:00Z,11.5,11,SI
2021-07-11T02:01:00Z,12,11,SI
2021-07-11T03:01:00Z,11.5,11,SI
2021-07-11T04:01:00Z,11.5,11,SI
2021-07-11T05:01:00Z,11.5,11,SI
2021-07-11T06:01:00Z,11.5,11,SI
2021-07-11T07:01:00Z,11.5,11,SI
2021-07-11T08:01:00Z,13.5,11,SI
2021-07-11T09:01:00Z,18.5,11,SI
2021-07-11T10:01:00Z,22.5,11,SI
2021-07-11T11:01:00Z,25,11,SI
2021-07-11T12:01:00Z,23.5,11,SI
2021-07-11T13:01:00Z,21,11,SI
2021-07-11T14:01:00Z,21,11,SI
2021-07-11T15:01:00Z,21,11,SI
2021-07-11T16:01:00Z,11.5,11,SI
2021-07-11T17:01:00Z,12,11,SI
2021-07-11T18:01:00Z,12,11,SI
2021-07-11T19:01:00Z,11.5,11,SI
2021-07-11T20:01:00Z,11.5,11,SI
2021-07-11T21:01:00Z,12,11,SI
2021-07-11T22:01:00Z,12,11,SI
2021-07-11T23:01:00Z,11.5,11,SI
2021-07-12T00:01:00Z,11.5,11,SI
2021-07-12T01:01:00Z,11.5,11,SI
2021-07-12T02:01:00Z,11.5,11,SI
2021-07-12T03:01:00Z,11.5,11,SI
2021-07-12T04:01:00Z,11.5,11,SI
2021-07-12T05:01:00Z,11.5,11,SI
2021-07-12T06:01:00Z,11,11,SI
2021-07-12T07:01:00Z,11,11,SI
2021-07-12T08:01:00Z,13,11,SI
2021-07-12T09:01:00Z,18,11,SI
2021-07-12T10:01:00Z,21.5,11,SI
2021-07-12T11:01:00Z,25,11,SI
2021-07-12T12:01:00Z,22.5,11,SI
2021-07-12T13:01:00Z,23.5,11,SI
2021-07-12T14:01:00Z,23.5,11,SI
2021-07-12T15:01:00Z,24,11,SI
2021-07-12T16:01:00Z,13.5,11,SI
2021-07-12T17:01:00Z,12,11,SI
2021-07-12T18:01:00Z,11.5,11,SI
2021-07-12T19:01:00Z,12,11,SI
2021-07-12T20:01:00Z,11.5,11,SI
2021-07-12T21:01:00Z,11.5,11,SI
2021-07-12T22:01:00Z,12,11,SI
2021-07-12T23:01:00Z,11.5,11,SI
2021-07-13T00:01:00Z,11.5,11,SI
2021-07-13T01:01:00Z,11.5,11,SI
2021-07-13T02:01:00Z,11.5,11,SI
2021-07-13T03:01:00Z,11.5,11,SI
2021-07-13T04:01:00Z,11.5,11,SI
2021-07-13T05:01:00Z,11,11,SI
2021-07-13T06:01:00Z,11,11,SI
2021-07-13T07:01:00Z,11,11,SI
2021-07-13T08:01:00Z,11.5,11,SI
2021-07-13T09:01:00Z,17,11,SI
2021-07-13T10:01:00Z,20.5,11,SI
2021-07-13T11:01:00Z,23.5,11,SI
2021-07-13T12:01:00Z,22,11,SI
2021-07-13T13:01:00Z,22.5,11,SI
2021-07-13T14:01:00Z,22,11,SI
2021-07-13T15:01:00Z,21,11,SI
2021-07-13T16:01:00Z,17.5,11,SI
2021-07-13T17:01:00Z,11.5,11,SI
2021-07-13T18:01:00Z,12,11,SI
2021-07-13T19:01:00Z,12,11,SI
2021-07-13T20:01:00Z,11.5,11,SI
2021-07-13T21:01:00Z,11.5,11,SI
2021-07-13T22:01:00Z,11.5,11,SI
2021-07-13T23:01:00Z,11.5,11,SI
2021-07-14T00:01:00Z,11.5,11,SI
2021-07-14T01:01:00Z,11.5,11,SI
2021-07-14T02:01:00Z,11.5,11,SI
2021-07-14T03:01:00Z,11.5,11,SI
2021-07-14T04:01:00Z,11.5,11,SI
2021-07-14T05:01:00Z,11.5,11,SI
2021-07-14T06:01:00Z,11.5,11,SI
2021-07-14T07:01:00Z,11,11,SI
2021-07-14T08:01:00Z,11,11,SI
2021-07-14T09:01:00Z,12,11,SI
2021-07-14T10:01:00Z,17.5,11,SI
2021-07-14T11:01:00Z,21,11,SI
2021-07-14T12:01:00Z,21,11,SI
2021-07-14T13:01:00Z,21,11,SI
2021-07-14T14:01:00Z,22.5,11,SI
2021-07-14T15:01:00Z,22.5,11,SI
2021-07-14T16:01:00Z,21.5,11,SI
2021-07-14T17:01:00Z,12,11,SI
2021-07-14T18:01:00Z,12,11,SI
2021-07-14T19:01:00Z,11.5,11,SI
2021-07-14T20:01:00Z,11.5,11,SI
2021-07-14T21:01:00Z,11.5,11,SI
2021-07-14T22:01:00Z,11.5,11,SI
2021-07-14T23:01:00Z,11.5,11,SI
2021-07-15T00:01:00Z,11.5,11,SI
2021-07-15T01:01:00Z,11.5,11,SI
2021-07-15T02:01:00Z,11.5,11,SI
2021-07-15T03:01:00Z,11.5,11,SI
2021-07-15T04:01:00Z,11.5,11,SI
2021-07-15T05:01:00Z,11.5,11,SI
2021-07-15T06:01:00Z,11.5,11,SI
2021-07-15T07:01:00Z,11.5,11,SI
2021-07-15T08:01:00Z,11,11,SI
2021-07-15T09:01:00Z,11.5,11,SI
2021-07-15T10:01:00Z,13,11,SI
2021-07-15T11:01:00Z,16.5,11,SI
2021-07-15T12:01:00Z,17.5,11,SI
2021-07-15T13:01:00Z,18.5,11,SI
2021-07-15T14:01:00Z,18.5,11,SI
2021-07-15T15:01:00Z,18.5,11,SI
2021-07-15T16:01:00Z,17,11,SI
2021-07-15T17:01:00Z,12,11,SI
2021-07-15T18:01:00Z,11.5,11,SI
2021-07-15T19:01:00Z,12,11,SI
2021-07-15T20:01:00Z,12,11,SI
2021-07-15T21:01:00Z,12,11,SI
2021-07-15T22:01:00Z,11.5,11,SI
2021-07-15T23:01:00Z,11.5,11,SI
2021-07-16T00:01:00Z,11.5,11,SI
