"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 00:00","2021","06","01","00:00","14.2","","12.4","","89","","","","30","","4","","24.1","","101.88","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 01:00","2021","06","01","01:00","13.1","","13.1","","100","","","","27","","5","","24.1","","101.86","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 02:00","2021","06","01","02:00","13.6","","13.6","","100","","","","29","","10","","24.1","","101.84","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 03:00","2021","06","01","03:00","14.4","","14.3","","99","","","","27","","10","","32.2","","101.82","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 04:00","2021","06","01","04:00","13.7","","13.7","","100","","","","25","","10","","48.3","","101.78","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 05:00","2021","06","01","05:00","13.9","","13.9","","100","","","","28","","10","","48.3","","101.79","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 06:00","2021","06","01","06:00","16.1","","14.1","","87","","","","28","","9","","48.3","","101.78","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 07:00","2021","06","01","07:00","18.0","","12.7","","71","","","","26","","7","","48.3","","101.77","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 08:00","2021","06","01","08:00","20.3","","12.3","","60","","","","28","","9","","32.2","","101.73","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 09:00","2021","06","01","09:00","21.9","","12.5","","55","","","","26","","4","","48.3","","101.69","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 10:00","2021","06","01","10:00","22.9","","11.9","","49","","","","5","","14","","48.3","","101.64","","25","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 11:00","2021","06","01","11:00","24.7","","12.2","","45","","","","5","","13","","48.3","","101.57","","27","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 12:00","2021","06","01","12:00","24.5","","11.9","","45","","","","7","","15","","48.3","","101.50","","27","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 13:00","2021","06","01","13:00","24.9","","12.2","","44","","","","7","","13","","48.3","","101.42","","27","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 14:00","2021","06","01","14:00","26.4","","12.7","","42","","","","9","","10","","48.3","","101.33","","29","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 15:00","2021","06","01","15:00","27.4","","12.3","","39","","","","9","","12","","48.3","","101.25","","30","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 16:00","2021","06","01","16:00","27.8","","12.1","","37","","","","5","","9","","48.3","","101.16","","30","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 17:00","2021","06","01","17:00","27.5","","12.4","","39","","","","9","","7","","48.3","","101.08","","30","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 18:00","2021","06","01","18:00","25.9","","11.8","","41","","","","9","","7","","48.3","","101.02","","28","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 19:00","2021","06","01","19:00","24.2","","11.8","","45","","","","9","","7","","48.3","","100.98","","26","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 20:00","2021","06","01","20:00","19.1","","12.0","","63","","","","12","","5","","48.3","","100.94","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 21:00","2021","06","01","21:00","17.6","","11.4","","67","","","","14","","3","","48.3","","100.93","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 22:00","2021","06","01","22:00","16.6","","14.0","","84","","","","0","","1","","32.2","","100.91","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-01 23:00","2021","06","01","23:00","16.0","","11.8","","76","","","","36","","1","","24.1","","100.90","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 00:00","2021","06","02","00:00","15.8","","13.8","","88","","","","23","","8","","24.1","","100.92","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 01:00","2021","06","02","01:00","15.6","","14.5","","93","","","","36","","2","","24.1","","100.89","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 02:00","2021","06","02","02:00","14.5","","14.5","","100","","","","29","","9","","24.1","","100.91","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 03:00","2021","06","02","03:00","13.6","","13.2","","98","","","","36","","2","","32.2","","100.91","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 04:00","2021","06","02","04:00","13.4","","13.2","","99","","","","36","","1","","48.3","","100.94","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 05:00","2021","06","02","05:00","13.7","","13.7","","100","","","","25","","4","","48.3","","100.99","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 06:00","2021","06","02","06:00","16.8","","15.4","","92","","","","28","","7","","48.3","","101.02","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 07:00","2021","06","02","07:00","17.4","","12.7","","74","","","","10","","7","","48.3","","101.06","","","","","","Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 08:00","2021","06","02","08:00","16.7","","11.2","","70","","","","13","","13","","48.3","","101.09","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 09:00","2021","06","02","09:00","18.9","","11.8","","63","","","","12","","15","","48.3","","101.13","","","","","","NA"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 10:00","2021","06","02","10:00","19.8","","11.8","","59","","","","11","","15","","48.3","","101.13","","","","","","Mainly Clear"
"-123.43","48.65","VICTORIA INTL A","1018621","2021-06-02 11:00","2021","06","02","11:00","20.3","","12.3","","60","","","","12","","14","","48.3","","101.12","","","","","","NA"
